,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
54,Al0.077B0.154Co0.154Cr0.154Cu0.154Fe0.154Ni0.154,AC,736.0,1,36.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1149/1.2744133
55,Al0.077Co0.154Cr0.154Cu0.154Fe0.154Ni0.154Ti0.154,AC,636.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
56,Al0.077Co0.154Cr0.154Cu0.154Fe0.154Ni0.154V0.154,AC,639.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
57,Al0.077Co0.288Cr0.192Fe0.192Ni0.192Ti0.058,PM,515.0,8,129.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.5755/j01.ms.25.3.19452
58,Al0.077Co0.308Fe0.308Ni0.308,AC,135.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
59,Al0.077Co0.308Fe0.308Ni0.308,AC,138.0,1,4.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jmmm.2014.07.023
60,Al0.079Co0.159Cr0.159Cu0.159Fe0.159Ni0.159Ti0.127,AC,590.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
61,Al0.079Co0.159Cr0.159Cu0.159Fe0.159Ni0.159V0.127,AC,447.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
62,Al0.079Co0.184Cr0.184Fe0.184Mn0.184Ni0.184,AC,183.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
63,Al0.080Co0.170Cr0.140Cu0.080Fe0.170Mo0.001Ni0.349Ti0.010W0.001,AC,231.0,8,201.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.ultramic.2015.06.009
64,Al0.080Co0.170Cr0.140Cu0.080Fe0.170Mo0.001Ni0.349Ti0.010W0.001,HM,178.0,8,201.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.ultramic.2015.06.009
65,Al0.080Co0.170Cr0.140Cu0.080Fe0.170Mo0.001Ni0.349Ti0.010W0.001,HM,343.0,8,201.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.ultramic.2015.06.009
66,Al0.080Co0.170Cr0.140Cu0.080Fe0.170Mo0.001Ni0.349Ti0.010W0.001,HM,171.0,8,167.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2018.06.036
67,Al0.080Co0.170Cr0.170Cu0.080Fe0.170Ni0.330,AC,280.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
68,Al0.080Co0.170Cr0.170Cu0.080Fe0.170Ni0.330,HM,168.0,8,201.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.ultramic.2015.06.009
